sentence,word,tag,top1_relevance,top2_relevance,top3_relevance,top4_relevance,top5_relevance
19805,5,B-PER,"[{'word': 4, 'value': 0.001278856274439022}, {'word': 4, 'value': 0.0017191829647345003}, {'word': 4, 'value': 0.0013155695928617206}, {'word': 10, 'value': 1.9062736100750044e-05}, {'word': 10, 'value': 5.836771379108541e-06}]","[{'word': 8, 'value': 0.00010672863572835922}, {'word': 10, 'value': 0.00012098008301109076}, {'word': 10, 'value': 0.00010276609100401402}, {'word': 4, 'value': 2.7602585244146383e-06}, {'word': 4, 'value': 1.6618027109949196e-07}]","[{'word': 1, 'value': 7.354808622039855e-05}, {'word': 12, 'value': 3.585615195333958e-05}, {'word': 8, 'value': 7.411616388708353e-05}, {'word': 2, 'value': 8.601632828231232e-07}, {'word': 14, 'value': 1.060153635989991e-07}]","[{'word': 12, 'value': 6.215856410562992e-05}, {'word': 8, 'value': 2.7411762857809663e-05}, {'word': 7, 'value': 2.0755931473104283e-05}, {'word': 0, 'value': 3.425178647376015e-07}, {'word': 7, 'value': 4.238951678559033e-08}]","[{'word': 10, 'value': 2.9366929084062576e-05}, {'word': 6, 'value': 2.260006294818595e-05}, {'word': 12, 'value': 1.8696198821999133e-05}, {'word': 9, 'value': 1.964020555078605e-07}, {'word': 0, 'value': 2.882021377104138e-08}]"
18098,0,B-PER,"[{'word': 1, 'value': 0.7584436573088169}, {'word': 1, 'value': 0.9668556535616517}, {'word': 1, 'value': 0.9959569498896599}, {'word': 1, 'value': 0.9992990822827323}, {'word': 1, 'value': 0.9999641074101886}]","[{'word': 5, 'value': 0.009189903736114502}, {'word': 3, 'value': 0.039122939109802246}, {'word': 3, 'value': 0.026401638984680176}, {'word': 3, 'value': 0.00024586915969848633}, {'word': 3, 'value': 1.811981201171875e-05}]","[{'word': 2, 'value': 0.005529042333364487}, {'word': 5, 'value': 0.011406362056732178}, {'word': 5, 'value': 0.0009698271751403809}, {'word': 2, 'value': 8.62681292801426e-06}, {'word': 4, 'value': 4.2150019226028235e-06}]","[{'word': 4, 'value': 0.0038721710443496704}, {'word': 2, 'value': 0.0006282780668698251}, {'word': 4, 'value': 1.700726897979621e-05}, {'word': 5, 'value': 4.0531158447265625e-06}, {'word': 5, 'value': 2.0265579223632812e-06}]","[{'word': 3, 'value': 0.0005009174346923828}, {'word': 4, 'value': 0.00020140205742791295}, {'word': 2, 'value': 8.32467048894614e-06}, {'word': 4, 'value': 2.8977100328120287e-06}, {'word': 2, 'value': 1.9295519970707886e-07}]"
11634,1,B-PER,"[{'word': 2, 'value': 0.4962493544444442}, {'word': 2, 'value': 0.8336635703744832}, {'word': 2, 'value': 0.9413140758024383}, {'word': 2, 'value': 0.9976479081148071}, {'word': 2, 'value': 0.9998542019726928}]","[{'word': 0, 'value': 0.04156788159161806}, {'word': 0, 'value': 0.015050516172777861}, {'word': 0, 'value': 0.011608221029746346}, {'word': 7, 'value': 0.020107107236981392}, {'word': 7, 'value': 0.0005891065811738372}]","[{'word': 7, 'value': 0.000193864107131958}, {'word': 7, 'value': 0.01227232813835144}, {'word': 7, 'value': 0.005324520170688629}, {'word': 0, 'value': 0.000166623242876085}, {'word': 4, 'value': 9.675782806084499e-07}]","[{'word': 4, 'value': 8.216011337935925e-05}, {'word': 4, 'value': 3.598630428314209e-05}, {'word': 4, 'value': 0.000226642529014498}, {'word': 4, 'value': 4.1464769310550764e-05}, {'word': 0, 'value': 1.2566708496031254e-07}]","[{'word': 3, 'value': 3.21446277666837e-05}, {'word': 3, 'value': 5.201882686378667e-06}, {'word': 3, 'value': 3.1002730338514084e-07}, {'word': 9, 'value': 2.1366020064306213e-09}, {'word': 9, 'value': 3.20196993919275e-11}]"
2858,33,B-PER,"[{'word': 25, 'value': 0.000924285501241684}, {'word': 32, 'value': 0.00022594191250391304}, {'word': 25, 'value': 0.00021835649386048317}, {'word': 34, 'value': 9.14023239602102e-05}, {'word': 34, 'value': 7.829135381598462e-05}]","[{'word': 31, 'value': 0.0003095771826338023}, {'word': 31, 'value': 0.00014224325423128903}, {'word': 32, 'value': 0.00016822012730699498}, {'word': 25, 'value': 9.885785402730107e-06}, {'word': 25, 'value': 5.184457404538989e-05}]","[{'word': 34, 'value': 4.210105544188991e-05}, {'word': 25, 'value': 0.00011129677295684814}, {'word': 18, 'value': 0.00010024057701230049}, {'word': 18, 'value': 2.3676693672314286e-06}, {'word': 0, 'value': 3.1456584110856056e-06}]","[{'word': 18, 'value': 2.7846544981002808e-05}, {'word': 35, 'value': 7.129933510441333e-05}, {'word': 31, 'value': 7.8719669545535e-05}, {'word': 26, 'value': 1.2499247077357722e-06}, {'word': 32, 'value': 2.302598964831759e-07}]","[{'word': 32, 'value': 2.581014996394515e-05}, {'word': 34, 'value': 4.531055310508236e-05}, {'word': 35, 'value': 4.358192381914705e-05}, {'word': 35, 'value': 1.1193834552614135e-06}, {'word': 18, 'value': 1.670604206083226e-07}]"
3604,9,B-PER,"[{'word': 10, 'value': 0.9422031547874212}, {'word': 10, 'value': 0.9846926396712661}, {'word': 10, 'value': 0.9879467679529625}, {'word': 10, 'value': 0.9995174148710326}, {'word': 10, 'value': 0.9999283552076715}]","[{'word': 11, 'value': 0.001606315141543746}, {'word': 8, 'value': 0.0004466898171813227}, {'word': 1, 'value': 0.0007503032684326172}, {'word': 14, 'value': 4.3659623770508915e-05}, {'word': 14, 'value': 6.003179635172273e-06}]","[{'word': 14, 'value': 0.00034664967097342014}, {'word': 1, 'value': 0.00011360645294189453}, {'word': 8, 'value': 4.653795963349694e-05}, {'word': 8, 'value': 3.3354085360315366e-07}, {'word': 1, 'value': 1.1920928955078125e-07}]","[{'word': 8, 'value': 0.0001915542088681832}, {'word': 5, 'value': 0.00010603666305541992}, {'word': 5, 'value': 2.7298927307128906e-05}, {'word': 13, 'value': 1.928669384199111e-07}, {'word': 8, 'value': 2.5399141845294793e-08}]","[{'word': 6, 'value': 0.0001106590498238802}, {'word': 14, 'value': 5.9499870985746384e-05}, {'word': 14, 'value': 1.2785982107743621e-05}, {'word': 1, 'value': 1.1920928955078125e-07}, {'word': 13, 'value': 1.4633600914359945e-08}]"
8505,8,B-PER,"[{'word': 7, 'value': 0.31663832254707813}, {'word': 9, 'value': 0.9496494055492803}, {'word': 9, 'value': 0.9956417659195722}, {'word': 9, 'value': 0.9995768179260267}, {'word': 9, 'value': 0.9999365068280213}]","[{'word': 9, 'value': 0.2631022101268172}, {'word': 7, 'value': 0.014308801917650271}, {'word': 7, 'value': 0.00035825582807547107}, {'word': 7, 'value': 0.00014313864377690777}, {'word': 7, 'value': 1.0870929241804661e-05}]","[{'word': 13, 'value': 0.0003091655671596527}, {'word': 1, 'value': 2.5489876861684024e-05}, {'word': 14, 'value': 3.658157947938889e-05}, {'word': 14, 'value': 3.4207653243356617e-07}, {'word': 14, 'value': 1.216127998304728e-08}]","[{'word': 1, 'value': 5.366432014852762e-05}, {'word': 12, 'value': 1.2114815035602078e-05}, {'word': 1, 'value': 1.9493018044158816e-06}, {'word': 6, 'value': 2.2866031734736225e-08}, {'word': 12, 'value': 6.6827130495994425e-09}]","[{'word': 6, 'value': 4.777864523930475e-05}, {'word': 11, 'value': 1.0348921932745725e-05}, {'word': 11, 'value': 1.6296944522764534e-06}, {'word': 12, 'value': 9.097965047999423e-09}, {'word': 5, 'value': 3.711414287010939e-09}]"
1574,0,B-PER,"[{'word': 2, 'value': 0.00017922627739608288}, {'word': 1, 'value': 7.207857561297715e-05}, {'word': 2, 'value': 9.608172695152462e-05}, {'word': 2, 'value': 9.638069968787022e-06}, {'word': 2, 'value': 2.6179361611866625e-06}]","[{'word': 9, 'value': 0.00014546513557434082}, {'word': 9, 'value': 8.417438948526978e-06}, {'word': 1, 'value': 4.2022662455565296e-05}, {'word': 12, 'value': 4.1040311771212146e-07}, {'word': 12, 'value': 6.827053766755853e-07}]","[{'word': 1, 'value': 3.69428307749331e-05}, {'word': 2, 'value': 7.395283319056034e-06}, {'word': 10, 'value': 1.956610503839329e-06}, {'word': 15, 'value': 2.924580257968046e-07}, {'word': 11, 'value': 3.691677648021141e-07}]","[{'word': 3, 'value': 2.0157021936029196e-05}, {'word': 15, 'value': 5.225185304880142e-06}, {'word': 15, 'value': 1.3664393918588758e-06}, {'word': 1, 'value': 2.37141364323179e-07}, {'word': 1, 'value': 9.87547221775742e-09}]","[{'word': 10, 'value': 8.495058864355087e-06}, {'word': 14, 'value': 3.4776167012751102e-06}, {'word': 9, 'value': 1.2776654330082238e-06}, {'word': 13, 'value': 7.676334234929527e-08}, {'word': 17, 'value': 2.3902373413875466e-09}]"
1133,26,B-PER,"[{'word': 27, 'value': 0.0003312176704639569}, {'word': 27, 'value': 0.00013635874711326323}, {'word': 27, 'value': 6.570174218722968e-05}, {'word': 16, 'value': 1.6248457541223615e-05}, {'word': 1, 'value': 1.3266573660075665e-05}]","[{'word': 28, 'value': 0.0001553578767925501}, {'word': 20, 'value': 3.09506431221962e-05}, {'word': 1, 'value': 4.591792821884155e-05}, {'word': 1, 'value': 1.273315865546465e-05}, {'word': 16, 'value': 5.2027180572622456e-06}]","[{'word': 19, 'value': 0.00012966967187821865}, {'word': 1, 'value': 3.0875205993652344e-05}, {'word': 28, 'value': 1.803133636713028e-05}, {'word': 7, 'value': 1.9073486328125e-06}, {'word': 4, 'value': 2.7969326765742153e-07}]","[{'word': 25, 'value': 0.00012649781274376437}, {'word': 28, 'value': 1.8841223209165037e-05}, {'word': 20, 'value': 1.669513585511595e-05}, {'word': 4, 'value': 3.1797753763385117e-07}, {'word': 28, 'value': 1.288325535142576e-07}]","[{'word': 36, 'value': 9.087938815355301e-05}, {'word': 25, 'value': 1.3407502592599485e-05}, {'word': 16, 'value': 1.4183096936903894e-05}, {'word': 11, 'value': 3.140389708278235e-07}, {'word': 3, 'value': 3.10087671095971e-08}]"
4692,1,B-PER,"[{'word': 0, 'value': 0.3884708059486002}, {'word': 0, 'value': 0.33479361882200465}, {'word': 2, 'value': 0.4520033832424133}, {'word': 2, 'value': 0.9729450248802252}, {'word': 2, 'value': 0.9966015791164387}]","[{'word': 2, 'value': 0.12588508008047938}, {'word': 2, 'value': 0.2816493707796326}, {'word': 0, 'value': 0.07824995309238147}, {'word': 0, 'value': 0.021432555381927898}, {'word': 0, 'value': 9.73927583491907e-05}]","[{'word': 3, 'value': 7.711133366683498e-05}, {'word': 6, 'value': 4.780213930644095e-05}, {'word': 6, 'value': 1.110407174564898e-05}, {'word': 6, 'value': 1.4336377262225142e-05}, {'word': 6, 'value': 3.4289996619918384e-08}]","[{'word': 6, 'value': 6.496580317616463e-05}, {'word': 3, 'value': 2.4133203623932786e-05}, {'word': 4, 'value': 1.4041356735106092e-06}, {'word': 4, 'value': 3.1723681459538966e-08}, {'word': 4, 'value': 9.013013529957092e-10}]","[{'word': 4, 'value': 2.7568588848225772e-05}, {'word': 4, 'value': 1.3306849723448977e-05}, {'word': 3, 'value': 1.3609420079774281e-06}, {'word': 3, 'value': 2.36607744646955e-08}, {'word': 3, 'value': 2.313802393498314e-10}]"
9435,0,B-PER,"[{'word': 1, 'value': 0.16663092374801636}, {'word': 1, 'value': 0.547124058008194}, {'word': 1, 'value': 0.5672403294593096}, {'word': 1, 'value': 0.6514734398806468}, {'word': 1, 'value': 0.8782784583563625}]","[{'word': 2, 'value': 0.0271811131387949}, {'word': 2, 'value': 0.005749555071815848}, {'word': 2, 'value': 0.0005249006644589826}, {'word': 2, 'value': 1.693363495292033e-05}, {'word': 2, 'value': 4.967444274805999e-06}]","[{'word': 3, 'value': 0.00016338512068614364}, {'word': 3, 'value': 1.9263166905147955e-05}, {'word': 7, 'value': 3.385135642020032e-06}, {'word': 7, 'value': 2.872325239877682e-07}, {'word': 7, 'value': 5.538686842498919e-09}]","[{'word': 7, 'value': 2.0495819626376033e-05}, {'word': 7, 'value': 3.633700544014573e-06}, {'word': 3, 'value': 3.1006152312329505e-07}, {'word': 8, 'value': 5.60510642344525e-08}, {'word': 5, 'value': 2.099275975275816e-09}]","[{'word': 4, 'value': 5.689778845408e-06}, {'word': 5, 'value': 1.1388674465706572e-06}, {'word': 8, 'value': 1.287021405005362e-07}, {'word': 3, 'value': 4.5992782027326484e-08}, {'word': 8, 'value': 1.4391101643695947e-09}]"
