sentence,word,tag,relevanceBag,top1_word,top1_value,top2_word,top2_value,top3_word,top3_value,top4_word,top4_value,top5_word,top5_value
19805,5,B-PER,[],4,0.001278856274439022,8,0.00010672863572835922,1,7.354808622039855e-05,12,6.215856410562992e-05,10,2.9366929084062576e-05
18098,0,B-PER,[1],1,0.7584436573088169,5,0.009189903736114502,2,0.005529042333364487,4,0.0038721710443496704,3,0.0005009174346923828
11634,1,B-PER,[2],2,0.4962493544444442,0,0.04156788159161806,7,0.000193864107131958,4,8.216011337935925e-05,3,3.21446277666837e-05
2858,33,B-PER,[],25,0.000924285501241684,31,0.0003095771826338023,34,4.210105544188991e-05,18,2.7846544981002808e-05,32,2.581014996394515e-05
3604,9,B-PER,[10],10,0.9422031547874212,11,0.001606315141543746,14,0.00034664967097342014,8,0.0001915542088681832,6,0.0001106590498238802
8505,8,B-PER,[],7,0.31663832254707813,9,0.2631022101268172,13,0.0003091655671596527,1,5.366432014852762e-05,6,4.777864523930475e-05
1574,0,B-PER,[],2,0.00017922627739608288,9,0.00014546513557434082,1,3.69428307749331e-05,3,2.0157021936029196e-05,10,8.495058864355087e-06
1133,26,B-PER,[],27,0.0003312176704639569,28,0.0001553578767925501,19,0.00012966967187821865,25,0.00012649781274376437,36,9.087938815355301e-05
4692,1,B-PER,[2],0,0.3884708059486002,2,0.12588508008047938,3,7.711133366683498e-05,6,6.496580317616463e-05,4,2.7568588848225772e-05
9435,0,B-PER,[1],1,0.16663092374801636,2,0.0271811131387949,3,0.00016338512068614364,7,2.0495819626376033e-05,4,5.689778845408e-06
13584,0,B-PER,[1],1,0.2186727523803711,6,0.0009464621543884277,2,0.00083793920930475,7,0.0005310177803039551,9,0.00023731496185064316
14323,10,B-PER,[11],11,0.9575809952802956,9,0.0023818558547645807,8,0.001162317581474781,7,0.00037097930908203125,14,0.0003182459622621536
20016,19,B-PER,[20],20,0.7869496494531631,14,0.0015779770910739899,18,0.00063792312721489,16,5.015649367123842e-05,22,4.977241042070091e-05
15704,18,B-PER,[],17,0.00210377702023834,23,0.0015520118176937103,13,0.0011525452136993408,27,0.0002208249643445015,35,0.00021732039749622345
9321,15,B-PER,[],19,0.00046195928007364273,14,0.0002614506665850058,13,8.566128599341027e-05,17,8.205449557863176e-05,9,7.46545847505331e-05
12401,9,B-PER,[],8,0.526022482663393,10,0.04114546254277229,14,0.02466905117034912,15,0.01497507095336914,16,0.004603028297424316
18290,2,B-PER,[],3,0.0009455039689783007,1,0.0002044504180958029,7,5.932757630944252e-05,6,2.2028398234397173e-05,5,2.160271833417937e-06
359,3,B-PER,[],4,0.0032518450170755386,3,0.0012213122099637985,2,0.00013586939894594252,5,0.00011988234473392367,1,2.7827569283545017e-05
