sentence,word,tag,relevanceBag,model1,model2,model3,model4,model5
19805,5,B-PER,[],0.001278856274439022,0.0017191829647345003,0.0013155695928617206,1.9062736100750044e-05,5.836771379108541e-06
18098,0,B-PER,[1],0.7584436573088169,0.9668556535616517,0.9959569498896599,0.9992990822827323,0.9999641074101886
11634,1,B-PER,[2],0.4962493544444442,0.8336635703744832,0.9413140758024383,0.9976479081148071,0.9998542019726928
2858,33,B-PER,[],0.000924285501241684,0.00022594191250391304,0.00021835649386048317,9.14023239602102e-05,7.829135381598462e-05
3604,9,B-PER,[10],0.9422031547874212,0.9846926396712661,0.9879467679529625,0.9995174148710326,0.9999283552076715
8505,8,B-PER,[],0.31663832254707813,0.9496494055492803,0.9956417659195722,0.9995768179260267,0.9999365068280213
1574,0,B-PER,[],0.00017922627739608288,7.207857561297715e-05,9.608172695152462e-05,9.638069968787022e-06,2.6179361611866625e-06
1133,26,B-PER,[],0.0003312176704639569,0.00013635874711326323,6.570174218722968e-05,1.6248457541223615e-05,1.3266573660075665e-05
4692,1,B-PER,[2],0.3884708059486002,0.33479361882200465,0.4520033832424133,0.9729450248802252,0.9966015791164387
9435,0,B-PER,[1],0.16663092374801636,0.547124058008194,0.5672403294593096,0.6514734398806468,0.8782784583563625
13584,0,B-PER,[1],0.2186727523803711,0.7087657749652863,0.7096814513206482,0.9616202712059021,0.9860060224309564
14323,10,B-PER,[11],0.9575809952802956,0.9915483808727004,0.997510445471562,0.9976786924882441,0.9998866317970119
20016,19,B-PER,[20],0.7869496494531631,0.9422167558223009,0.9518735884921625,0.977811870547157,0.9961490253554075
15704,18,B-PER,[],0.00210377702023834,0.001951007841853425,0.0007686614990234375,6.46246480755508e-05,2.62196695075545e-05
9321,15,B-PER,[],0.00046195928007364273,0.0004151519433435169,3.6849602111033164e-05,0.00045362047967500985,1.7896636563818902e-06
12401,9,B-PER,[],0.526022482663393,0.4947264996008016,0.9410584182187449,0.9990184680549987,0.999952780911264
18290,2,B-PER,[],0.0009455039689783007,0.0009250825642084237,0.0007083990531100426,4.0132097637979314e-05,1.1709245654856204e-05
359,3,B-PER,[],0.0032518450170755386,0.003921200521290302,0.045660603791475296,0.32552724331617355,0.6086187965411227
14847,6,B-PER,[],0.0011551349889487028,0.00322734285145998,0.003921207011444494,2.8040567627840574e-06,2.535771770340034e-06
17506,1,B-PER,[],0.2648455239832401,0.040357916383072734,0.011829090493847616,0.0003337049810170356,0.0014078286032948029
13002,0,B-PER,[],0.0005148622440174222,0.0017481552495155483,0.003774101765884552,0.00010393636088679159,1.6955294492859707e-06
1579,0,B-PER,[],9.311584290117025e-05,8.007200813153759e-05,0.00020284552374505438,0.0017426264839741634,0.0005080723199739623
6480,0,B-PER,[],0.24827200174331665,0.8476846814155579,0.8081949554616585,0.9658300572664302,0.8769995066987093
18525,6,B-PER,[],0.9247772600501776,0.9770847046747804,0.9871048652566969,0.9996746868328046,0.9998318500926473
